Image_Name,SSIM_Score_high,SSIM_Score_GT
image_0.png,0.9505703105986274,0.8591767364110607
image_1.png,0.9257234505192481,0.8243283736745023
image_2.png,0.9811608353680779,0.9153277618601103
image_3.png,0.9852829199603772,0.9160744706376689
image_4.png,0.987440376323875,0.9267213219864573
image_5.png,0.9432411992198754,0.8553068580069624
image_6.png,0.9671587132279594,0.873528989741377
image_7.png,0.9531137590239491,0.8491275705670925
image_8.png,0.9725031345389764,0.8820549709953946
image_9.png,0.9735536031514568,0.8852312596616219
